nitrogen,phosphorus,potassium,ph,humidity_avg,temp_avg,precip_avg,target_crop,region_city
0.23,5.401,738.231,5.81,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,10.478,606.382,5.43,10.0241666665,25.1783333325,6.229166665749999,barley,Gharb
0.23,6.847,386.58,5.41,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,3.418,207.086,5.65,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,39.282,317.357,5.27,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,8.48,148.437,5.06,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,2.147,303.528,5.57,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,30.3,380.599,5.2,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,6.382,401.063,5.34,10.0241666665,25.1783333325,6.229166665749999,barley,Gharb
0.23,27.577,226.949,5.95,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,0.83888,217.874,5.47,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,46.842,417.185,6.43,10.0241666665,25.1783333325,6.229166665749999,barley,Tadla
0.23,1.505,149.357,6.06,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,3.822,423.766,5.6,10.0241666665,25.1783333325,6.229166665749999,barley,Gharb
0.23,66.314,351.523,6.03,10.0241666665,25.1783333325,6.229166665749999,barley,Gharb
0.23,2.601,164.48,5.25,10.0241666665,25.1783333325,6.229166665749999,barley,Gharb
0.23,6.166,77.385,6.17,10.0241666665,25.1783333325,6.229166665749999,barley,Fès-Meknès
0.23,5.055,116.77,6.15,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,4.894,137.386,5.79,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,12.275,81.482,5.99,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,2.025,196.733,5.9,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,0.412473,388.938,5.65,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,12.296,146.312,5.84,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,7.601,55.789,5.99,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.321,4.0,276.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,80.748,277.673,6.3,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,6.988,234.671,5.93,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,7.112,96.094,6.05,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,3.883,508.623,5.63,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,74.965,403.938,5.99,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.2526,12.0,347.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,8.851,135.701,5.2,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,13.07,175.786,6.21,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,8.048,71.766,5.57,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,168.213,697.628,6.05,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,58.65,285.655,6.01,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,3.766,183.472,5.85,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,5.095,89.77,6.15,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.2365,12.0,420.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,6.915,267.393,5.57,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,2.712,449.394,5.45,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,4.224,161.458,5.61,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,6.002,98.899,6.0,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,3.149,177.9,5.74,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,4.908,366.933,5.71,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.3493,7.0,191.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2681,15.0,296.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.358,12.0,241.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.3411,6.0,182.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1255,50.0,239.0,6.4,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2748,4.0,208.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.219,8.0,242.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2242,11.0,343.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2734,11.0,318.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1702,10.0,295.0,6.3,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,13.546,125.216,6.07,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,5.391,158.106,5.56,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,84.785,55.791,6.25,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.1754,5.0,159.0,6.3,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2145,4.0,185.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2905,3.0,316.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2087,164.0,910.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,17.626,187.345,5.7,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,291.856,1458.2,5.61,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,23.076,391.602,5.63,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,3.226,104.195,6.35,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2593,3.0,226.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1692,96.0,415.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.184,7.0,319.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,16.899,237.341,5.61,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,6.494,97.358,5.95,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,6.252,90.749,5.85,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.3063,9.0,338.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2363,22.0,287.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2935,8.0,196.0,6.3,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2902,18.0,177.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2591,39.0,461.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,2.253,214.852,5.95,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.3693,5.0,90.0,5.5,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.4014,18.0,395.0,5.6,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.286,13.0,360.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1405,9.0,361.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2039,3.0,245.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2174,107.0,505.0,5.6,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2437,6.0,115.0,5.6,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1572,48.0,271.0,5.4,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.171,4.0,401.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2482,6.0,450.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2142,5.0,106.0,5.4,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1693,7.0,336.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1218,2.0,326.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2287,5.0,454.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2333,8.0,276.0,5.5,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2385,8.0,82.0,5.4,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.197,85.0,520.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2918,6.0,272.0,6.5,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,25.574,298.895,5.72,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2116,2.0,353.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.4366,4.0,112.0,5.5,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.3835,6.0,155.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.3112,9.0,338.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.3332,18.0,445.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2485,5.0,259.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,7.282,104.592,5.89,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.4052,34.0,382.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.3525,13.0,330.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2667,5.0,350.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.3302,3.0,258.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.3736,5.0,227.0,6.4,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,5.885,105.534,6.15,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.284,5.05,90.077,5.53,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,1.559,127.07,5.71,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.284,2.0,108.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1618,4.0,176.0,6.3,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2234,7.0,143.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2927,46.0,354.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2764,6.0,272.0,5.8,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.3056,5.0,149.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1778,8.0,199.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,2.055,142.876,5.65,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,7.49,87.688,6.58,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.284,4.267,77.649,5.44,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2291,3.0,189.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1575,8.0,241.0,6.6,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2921,27.0,223.0,5.5,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2719,149.0,541.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.3093,3.0,173.0,6.2,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2741,4.0,184.0,5.6,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2375,5.0,426.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.3132,6.0,126.0,5.7,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2171,40.0,410.0,6.0,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2992,8.0,400.0,5.9,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,6.59,145.527,5.78,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.284,2.586,109.74,5.17,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,2.35,176.215,6.0,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.1679,90.0,344.0,6.1,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2992,7.375,246.058,5.67,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,5.241,281.322,5.36,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.284,8.902,254.987,5.56,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,8.898,310.09,5.56,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2375,16.098,131.747,5.62,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,7.103,316.18,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.1679,8.462,82.48,5.75,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,6.197,360.591,5.26,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,56.046,701.198,5.45,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.2992,10.201,284.279,5.53,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,2.901,223.778,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.1679,3.318,90.692,5.64,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,129.258,930.028,6.75,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.1679,9.679,41.134,5.75,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.284,9.139,187.123,6.0,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.284,2.219,112.914,5.95,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2375,12.954,172.263,5.41,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,6.996,92.034,5.9,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,2.917,180.743,5.47,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2518,7.549,241.465,5.79,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,7.325,55.537,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1679,57.619,107.897,5.41,8.59500000075,23.053333335,3.28833333325,barley,Gharb
